T4 Fan Factor,T3 Fan Factor,T2 Fan Factor,T1 Fan Factor
54,80,58,67
59,86,59,67
66,83,60,65
70,75,60,60
70,68,62,56
64,66,65,53
57,69,68,54
51,74,72,58
49,79,75,63
49,80,75,66
51,78,70,66
51,72,64,64
50,63,57,60
47,54,53,56
45,46,53,53
44,43,56,53
46,44,60,55
50,51,62,57
53,60,62,60
54,66,60,61
53,66,59,60
51,60,60,59
50,49,62,58
51,40,64,58
53,39,65,59
55,47,63,60
57,60,59,62
56,72,57,62
53,76,57,61
50,72,59,60
49,64,63,60
51,58,65,61
53,56,66,64
56,59,66,66
57,63,64,65
55,66,63,61
52,65,65,56
49,63,67,53
49,63,70,53
52,63,71,56
58,64,69,60
63,63,65,64
64,59,62,65
62,53,61,65
58,47,61,64
54,46,60,64
52,50,57,65
54,58,53,66
57,65,49,68
61,68,46,69
63,66,48,69
63,61,53,68
61,58,58,65
59,58,62,63
57,60,62,60
57,62,59,59
57,62,54,60
55,61,50,61
51,58,49,64
47,55,51,65
43,51,55,66
43,46,58,65
48,43,60,63
54,42,61,60
58,44,61,56
59,48,61,52
57,50,60,49
53,49,59,48
51,48,58,49
52,49,57,53
56,53,56,57
60,60,56,60
62,66,56,62
62,66,57,62
60,62,58,63
58,56,59,63
57,52,61,65
58,53,64,66
60,58,66,67
61,65,66,66
61,69,65,64
61,66,62,61
62,57,59,59
63,46,55,59
64,37,52,59
65,34,51,59
64,38,52,59
61,45,56,58
58,53,62,57
55,57,67,58
51,58,70,61
49,59,70,62
47,63,66,61
46,69,61,58
45,77,57,55
45,81,54,54
44,78,52,56
45,68,52,59
46,56,54,61
48,46,58,61
51,42,62,57
53,46,65,52
54,53,65,49
56,59,63,48
57,62,60,51
58,62,57,55
59,60,56,60
61,59,58,63
63,57,61,64
64,56,64,62
64,55,66,59
61,55,67,55
55,56,65,54
51,60,64,57
48,62,63,62
49,60,64,67
53,54,66,70
58,46,69,70
60,39,71,67
58,36,72,63
54,37,71,60
50,41,68,59
49,45,63,59
52,49,58,59
58,54,55,59
63,60,54,59
64,66,56,59
63,69,60,60
59,65,64,61
55,55,69,63
52,44,72,63
51,36,74,63
51,34,73,61
51,40,71,59
52,49,67,58
52,57,64,58
53,62,62,59
54,62,63,61
55,61,65,61
56,61,66,60
56,62,66,58
55,60,62,59
52,54,57,60
50,45,51,64
48,40,48,67
48,42,49,68
49,52,55,68
51,65,63,66
54,74,69,63
58,76,72,60
61,68,69,58
64,55,64,56
65,46,60,54
64,45,57,53
62,57,56,53
59,75,57,53
58,92,58,53
59,98,58,54
61,93,58,56
61,79,57,57
60,65,57,58
57,56,57,59
54,55,57,59
53,60,57,59
54,66,57,60
56,68,57,60
58,65,58,61
57,59,59,61
56,54,60,60
55,52,59,58
56,55,57,56
60,62,55,56
63,68,53,59
65,70,52,63
63,68,54,68
59,62,56,71
54,55,58,71
52,48,59,67
53,46,59,61
56,46,59,57
59,49,60,56
59,54,60,60
58,59,60,66
56,63,59,70
53,64,56,68
52,65,55,63
52,63,55,56
52,61,58,52
52,57,62,52
52,54,65,55
52,53,66,59
52,54,63,60
53,58,59,59
55,61,54,58
57,63,49,58
59,62,48,59
59,59,51,60
56,57,56,62
51,57,62,63
45,61,67,63
42,69,69,62
44,77,68,60
51,81,66,57
58,79,64,55
64,70,60,55
65,57,57,57
61,44,55,59
55,34,56,61
49,29,58,61
48,31,62,60
50,36,65,59
55,44,65,58
58,51,61,59
57,55,56,59
54,57,53,58
51,58,53,57
52,60,57,56
56,65,62,56
63,69,66,58
67,70,68,60
68,65,66,62
65,57,65,63
59,50,63,62
55,48,63,61
54,51,61,60
55,57,60,59
57,59,58,59
58,57,59,58
57,51,60,58
57,46,62,58
57,47,63,61
58,55,62,64
59,69,59,66
59,82,57,65
57,89,58,63
55,86,62,60
53,77,66,57
52,66,70,56
51,58,70,57
49,54,68,59
47,52,64,62
46,51,61,64
46,49,59,65
49,45,60,64
52,43,62,61
54,40,62,59
55,38,62,58
54,35,60,58
53,33,58,59
53,32,57,60
54,36,58,58
55,44,61,56
55,53,64,54
53,60,66,53
52,60,66,55
53,56,63,59
56,52,58,64
60,52,54,68
63,58,52,68
64,66,54,65
61,72,59,61
57,72,64,58
55,67,66,59
56,59,65,63
59,52,62,68
62,48,60,71
64,48,60,70
61,50,62,65
55,53,64,58
49,53,65,54
45,53,64,52
46,53,63,54
52,54,62,59
58,58,62,63
62,63,63,65
62,67,63,66
59,68,63,64
55,66,63,60
53,62,64,57
53,57,66,55
54,53,67,55
57,51,68,57
59,51,67,60
61,55,64,63
60,59,60,65
57,63,56,65
53,65,55,64
50,65,56,64
49,65,60,65
50,65,63,66
53,63,65,65
55,59,63,61
56,55,59,56
55,50,53,51
54,47,49,49
53,48,48,50
55,53,50,54
57,61,54,59
58,71,59,62
58,79,63,62
56,83,64,59
54,81,61,56
55,74,57,54
56,65,53,55
58,58,50,58
58,55,51,62
57,55,54,64
56,56,58,64
57,57,62,61
59,59,64,59
62,61,63,58
63,64,60,59
60,67,56,61
55,69,55,61
50,67,58,60
47,63,62,58
47,59,66,57
50,55,66,58
55,53,62,61
59,51,57,64
61,51,54,65
62,52,54,63
61,55,58,59
60,59,63,57
58,60,67,57
56,55,67,58
52,46,65,59
48,35,62,59
46,30,61,58
47,32,61,56
50,43,63,57
55,58,66,60
59,71,67,65
61,77,67,68
60,73,66,68
57,61,65,66
52,48,65,64
48,39,66,63
46,36,66,64
46,40,65,66
48,48,62,67
52,58,58,65
55,68,56,60
56,75,55,56
