Fan #4,Fan #3,Fan #2,Fan #1
2581,2379,2252,1392
2596,2502,2354,1391
2592,2629,2360,1391
2565,2555,2340,1390
2542,2454,2306,1392
2536,2467,2292,1393
2549,2503,2327,1390
2581,2474,2374,1391
2607,2438,2428,1391
2621,2400,2445,1390
2607,2367,2428,1393
2592,2399,2383,1392
2551,2469,2326,1392
2530,2426,2302,1392
2524,2298,2309,1389
2517,2239,2360,1391
2508,2332,2441,1391
2480,2445,2502,1391
2433,2481,2538,1389
2391,2431,2548,1389
2351,2326,2525,1390
2333,2244,2483,1391
2345,2295,2448,1389
2376,2395,2444,1389
2442,2430,2443,1391
2510,2360,2440,1390
2576,2238,2432,1390
2607,2215,2395,1392
2609,2300,2369,1392
2598,2353,2356,1392
2563,2301,2372,1392
2535,2198,2396,1392
2511,2276,2413,1390
2492,2350,2413,1389
2489,2392,2396,1390
2461,2429,2400,1391
2432,2510,2425,1391
2382,2578,2462,1387
2318,2523,2521,1390
2312,2418,2569,1390
2334,2411,2592,1389
2409,2516,2603,1389
2504,2532,2582,1389
2601,2413,2541,1391
2676,2329,2482,1390
2685,2348,2413,1391
2636,2347,2352,1391
2568,2290,2302,1390
2505,2307,2271,1389
2475,2361,2265,1391
2493,2381,2309,1392
2528,2368,2376,1390
2557,2400,2455,1389
2550,2437,2500,1390
2535,2433,2517,1390
2490,2430,2503,1390
2438,2419,2465,1391
2402,2332,2443,1392
2398,2179,2425,1392
2422,2172,2419,1392
2465,2216,2423,1390
2507,2206,2442,1389
2544,2251,2464,1389
2560,2321,2484,1389
2566,2439,2475,1392
2585,2430,2442,1390
2610,2326,2418,1390
2624,2228,2400,1390
2622,2255,2410,1392
2617,2317,2468,1392
2595,2354,2537,1389
2565,2303,2593,1391
2526,2217,2623,1389
2476,2309,2623,1389
2447,2419,2603,1390
2425,2391,2558,1390
2436,2300,2500,1391
2477,2295,2439,1391
2525,2317,2375,1390
2561,2280,2313,1390
2579,2186,2289,1391
2564,2222,2310,1390
2520,2259,2354,1391
2490,2305,2415,1391
2454,2398,2456,1391
2419,2522,2483,1394
2406,2546,2482,1391
2414,2486,2458,1389
2435,2501,2422,1391
2452,2608,2393,1390
2475,2589,2348,1392
2487,2382,2302,1391
2496,2212,2256,1392
2490,2252,2223,1390
2500,2392,2239,1391
2521,2448,2258,1389
2542,2391,2242,1392
2564,2307,2250,1390
2571,2308,2252,1389
Level #4,Level #3,Level #2
415,13431,12217
415,13430,12214
415,12709,12217
415,11846,12216
415,12160,12217
478,12865,12217
506,12599,12741
415,12742,12217
415,13420,12218
415,13430,11786
415,13478,10822
415,13478,10325
415,13480,10386
386,13430,10797
845,13432,11093
633,13526,10919
673,13426,10024
1509,13508,8415
2335,13526,6264
4319,13428,4448
5005,13429,3133
6130,13431,2309
8278,13431,1990
9133,13431,1876
9383,13431,1743
8913,13431,1606
8244,13480,1515
6862,13480,1876
5274,13527,2457
4351,13430,3202
3365,13431,3304
3465,13431,3245
3831,13430,3024
4082,13431,2824
5886,13480,2845
5896,13469,2995
4066,13441,2721
4164,13474,2007
5809,13509,1041
7046,13431,355
8680,13427,354
9808,13416,355
9784,13426,355
8308,13432,355
6835,13577,486
4760,13430,881
3293,13431,1847
2903,13480,2979
2895,13430,4608
2960,13431,8332
3543,13432,6573
3711,13430,6169
5718,13480,5206
3596,13430,4224
5556,13431,3062
3916,13518,2207
3968,13478,2020
4072,13431,1830
4462,13430,1664
4586,13526,1618
4753,13430,1647
4610,13431,1556
4825,13430,1132
3591,13430,601
3465,13471,372
2937,13527,612
2287,13481,761
1498,13478,1296
598,13479,1713
409,13431,1206
415,13431,360
416,13431,354
564,13430,355
1005,13430,355
1900,13422,355
2714,13431,355
3895,13480,366
3746,13432,595
5886,13431,1138
3419,13477,2350
2983,13430,3533
2845,13430,4414
2334,13432,4763
2777,13527,4624
3080,13430,6610
4095,13385,3024
5080,13419,2245
5644,13430,1967
6518,13409,2087
6683,13306,3337
7337,12878,2971
7184,13415,3956
7435,13478,5339
7294,13478,8795
7123,13426,7933
6956,13479,9102
6479,13480,10133
5800,13432,10880
6908,13481,11921
Time (s)
0.7
1.5
2.2
3.0
3.7
4.5
5.3
6.0
6.8
7.5
8.3
9.1
9.9
10.7
11.5
12.3
13.1
13.8
14.6
15.4
16.1
16.9
17.7
18.4
19.2
20.0
20.7
21.4
22.2
23.0
23.8
24.5
25.3
26.1
26.9
27.8
28.6
29.5
30.2
30.9
31.7
32.5
33.3
34.0
34.8
35.6
36.3
37.1
37.8
38.5
39.3
40.1
40.8
41.5
42.3
43.1
43.8
44.6
45.3
46.1
46.8
47.6
48.3
49.1
49.8
50.5
51.3
52.1
52.9
53.6
54.4
55.1
55.8
56.6
57.3
58.1
58.8
59.6
60.3
61.0
61.8
62.5
63.3
64.0
64.8
65.6
66.3
67.0
67.7
68.4
69.3
70.1
70.8
71.5
72.3
73.0
73.7
74.4
75.1
