Fan #4,Fan #3,Fan #2,Fan #1,Level #4,Level #3,Level #2,Time (s)
3214,3182,3318,1387,415,407,355,0.5
2764,2635,2713,1389,329,369,355,1.0
2575,2436,2453,1390,845,364,623,1.6
2486,2332,2370,1391,1155,392,1389,2.1
2444,2335,2356,1392,1791,374,2029,2.6
2440,2398,2368,1392,2767,363,2091,3.1
2451,2350,2385,1392,3080,531,2178,3.7
2475,2289,2390,1392,3314,386,2213,4.2
2490,2451,2396,1394,3350,363,2213,4.7
2497,2652,2415,1391,3744,407,2127,5.2
2491,2613,2437,1392,4128,364,2076,5.7
2488,2393,2457,1394,3904,398,1556,6.2
2464,2222,2467,1392,6214,820,954,6.8
2430,2218,2455,1391,3992,1951,600,7.3
2393,2296,2423,1391,6137,2241,572,7.8
2366,2319,2387,1392,4106,2148,750,8.3
2352,2338,2377,1392,4740,2307,904,8.8
2368,2483,2382,1391,7717,1166,1052,9.4
2390,2676,2411,1390,9270,363,1086,10.0
2409,2662,2446,1390,6929,504,675,10.5
2423,2477,2455,1389,7508,386,378,11.1
2419,2334,2455,1390,7744,387,355,11.7
2428,2333,2438,1392,8038,364,412,12.2
2434,2353,2424,1392,8364,381,384,12.7
2462,2317,2419,1392,8359,398,434,13.2
2504,2251,2413,1392,8941,466,635,13.8
2537,2178,2388,1392,7825,1093,784,14.3
2548,2225,2347,1390,7344,2433,1086,14.9
2526,2358,2289,1391,7175,2464,1995,15.5
2483,2398,2214,1390,7295,1522,3613,16.0
2435,2354,2232,1389,7587,1189,4687,16.6
2415,2311,2250,1391,8096,1339,5649,17.2
2413,2313,2367,1392,8328,1657,5534,17.7
2429,2408,2476,1389,8711,1242,4562,18.3
2449,2463,2535,1390,8839,368,3368,18.8
2455,2413,2502,1391,8685,375,2309,19.4
2444,2478,2404,1391,8904,364,2262,19.9
2420,2635,2284,1390,9069,364,5853,20.4
2410,2603,2179,1392,9378,363,5060,21.0
2422,2414,2168,1389,9885,392,7116,21.5
2457,2267,2245,1391,9651,545,8036,22.1
2500,2191,2325,1392,9559,1041,7929,22.7
2527,2192,2374,1391,8925,2399,9865,23.2
2531,2359,2383,1391,8357,2794,8440,23.8
2500,2515,2364,1391,8066,1281,6938,24.3
2464,2472,2337,1391,8279,387,7305,25.2
2426,2347,2323,1392,8729,380,7347,25.8
2411,2407,2329,1392,9016,386,7316,26.3
2419,2564,2337,1392,9241,407,7233,26.9
2448,2633,2347,1392,9641,364,9873,27.5
2478,2503,2345,1392,9522,370,7264,28.1
2508,2396,2345,1393,9314,364,8587,28.6
2510,2614,2344,1392,8777,364,8700,29.3
2504,2771,2344,1390,8651,363,7124,29.8
2486,2611,2319,1391,8605,363,7268,30.4
2467,2419,2289,1392,8535,375,7888,30.9
2435,2484,2261,1392,8489,363,8590,31.5
2409,2492,2225,1392,9199,364,9468,32.1
2393,2273,2265,1392,10116,795,10074,32.7
2401,2066,2326,1391,10554,2845,10228,33.3
2456,2209,2375,1391,10628,5537,9371,33.9
2536,2472,2402,1390,10217,4744,8679,34.4
2591,2472,2409,1389,9171,3101,8186,35.0
2600,2332,2397,1392,7974,3406,7710,35.5
2564,2347,2397,1391,7240,3822,7116,36.1
2498,2416,2419,1392,6965,3479,6575,36.7
2438,2401,2456,1390,10470,2811,5736,37.2
2406,2366,2484,1391,7997,2680,4561,37.7
2433,2363,2471,1391,8586,2606,3629,38.3
2493,2369,2411,1391,8662,2527,3310,38.8
2560,2392,2323,1391,7944,2213,3743,39.4
2606,2395,2233,1390,7044,1642,4961,40.0
2586,2346,2214,1391,8150,1488,6710,40.6
2549,2332,2255,1392,5588,1602,7442,41.1
2503,2368,2332,1392,5246,1397,9487,41.7
2495,2391,2405,1392,5165,1129,8570,42.2
2524,2377,2457,1392,4809,957,6275,42.8
2562,2335,2469,1391,4496,940,5183,43.3
2567,2274,2460,1391,3732,1236,4660,43.9
2549,2356,2434,1392,3723,1562,4326,44.4
2504,2555,2400,1391,3933,370,4196,45.0
2446,2629,2375,1390,3933,364,4259,45.5
2419,2488,2344,1392,4047,375,4414,46.1
2431,2323,2304,1390,4026,380,5075,46.7
2462,2284,2261,1390,3921,375,6079,47.3
2492,2259,2186,1392,3829,438,7054,47.8
2498,2166,2190,1391,3866,763,8339,48.4
2447,2114,2252,1391,3820,2430,9195,48.9
2377,2228,2292,1390,4111,4147,9424,49.5
2308,2495,2354,1390,5236,3491,9075,50.0
2263,2628,2396,1388,7110,380,8443,50.6
2223,2494,2403,1389,10864,364,7648,51.2
2291,2362,2397,1389,11436,381,7162,51.7
2364,2386,2399,1390,12434,364,8623,52.3
2428,2321,2415,1389,12966,443,8506,52.9
2459,2192,2440,1391,13002,1383,5295,53.4
2466,2293,2469,1392,12927,2715,4499,54.0
2471,2472,2471,1392,13296,1493,3882,54.5
2486,2430,2433,1390,13361,380,3442,55.1
2517,2432,2358,1390,13338,364,6476,55.6
2531,2591,2281,1389,13372,504,4591,56.1
2525,2602,2188,1390,13355,363,5957,56.7
2501,2436,2210,1392,13410,386,7728,57.3
2466,2349,2248,1394,13348,375,8669,57.8
2420,2401,2374,1393,13508,364,8324,58.4
2391,2380,2485,1392,13386,381,7185,58.9
2395,2257,2541,1391,13386,615,5421,59.5
2424,2236,2529,1392,13452,1091,4271,60.1
2460,2227,2467,1391,13391,2059,6765,60.6
2484,2218,2386,1392,13365,2818,4093,61.2
2492,2245,2325,1392,13432,4289,4697,61.7
2489,2349,2297,1394,13509,4818,5200,62.3
2487,2383,2305,1394,13518,4055,5740,62.8
2478,2259,2342,1392,13405,4312,5844,63.4
2475,2229,2386,1391,13410,6006,5518,64.0
2459,2510,2428,1392,13382,5505,5098,64.5
2454,2725,2457,1390,13426,1773,4995,65.1
2453,2650,2480,1389,13376,375,4289,65.7
2460,2457,2495,1391,13458,375,3499,66.2
2477,2504,2499,1390,13506,505,2870,66.8
2493,2730,2474,1391,13355,364,2207,67.3
2506,2830,2416,1390,13394,363,2225,67.8
2500,2683,2345,1392,13506,364,3246,68.4
2492,2385,2258,1391,13374,409,4161,69.0
2468,2279,2241,1390,13512,874,5134,69.5
2437,2414,2224,1389,13415,381,6393,70.1
2431,2434,2286,1391,13511,381,7002,70.7
2434,2258,2371,1390,13473,450,6778,71.2
2448,2180,2414,1390,13405,1606,6195,71.7
2444,2229,2424,1389,13405,2880,5803,72.3
