Fan #4,Fan #3,Fan #2,Fan #1,Level #4,Level #3,Level #2,Time (s)
3325,3368,3330,1394,780,407,354,0.5
2759,3104,2749,1395,386,408,355,1.0
2521,2867,2507,1395,1122,363,355,1.5
2444,2579,2452,1395,2092,375,389,2.0
2439,2309,2463,1395,2783,398,355,2.5
2472,2100,2451,1398,3600,1149,377,3.0
2495,2037,2395,1397,3917,2578,543,3.5
2522,2122,2316,1396,3761,4848,1000,4.0
2555,2295,2255,1397,3812,5646,2430,4.5
2561,2428,2216,1395,4198,5224,4194,5.0
2542,2518,2252,1395,3840,4758,5524,5.5
2496,2552,2361,1397,3842,3942,5694,6.0
2462,2602,2452,1396,6436,2795,6281,6.5
2423,2648,2504,1395,4006,1255,5842,7.0
2408,2647,2496,1394,4116,364,3345,7.5
2419,2583,2446,1394,4025,381,3344,8.0
2435,2451,2396,1395,3920,392,3950,8.5
2456,2277,2351,1397,4006,512,4315,9.0
2475,2087,2336,1395,3937,687,4442,9.5
2482,1953,2331,1395,4249,2462,4591,10.0
2495,1896,2330,1395,5785,6589,4670,10.5
2506,1956,2328,1396,3886,11479,7372,11.0
2512,2104,2335,1396,5579,13378,5065,11.5
2502,2296,2356,1396,5729,13469,4967,12.0
2475,2437,2393,1396,3995,13409,7864,12.5
2431,2538,2438,1395,4076,13459,4493,13.0
2399,2562,2473,1396,6028,13511,4030,13.5
2404,2526,2481,1397,4104,13464,3704,14.0
2444,2437,2466,1395,4122,13380,3682,14.5
2500,2297,2440,1392,3909,13465,3841,15.0
2530,2167,2406,1394,3829,13429,4153,15.5
2533,2113,2388,1398,6185,13428,4258,16.0
2493,2178,2401,1397,5644,13520,3978,16.5
2441,2379,2445,1398,4020,13376,5836,17.0
2404,2602,2490,1397,4387,13345,3544,17.5
2394,2749,2511,1394,5027,13433,2956,18.0
2417,2743,2496,1395,5751,13457,2492,18.5
2448,2629,2446,1395,5832,13425,2555,19.0
2486,2459,2374,1395,5751,13385,3161,19.5
2516,2335,2332,1395,5860,13390,3754,20.0
2507,2298,2337,1396,5581,13381,4402,20.5
2487,2381,2370,1398,5600,13373,4254,21.0
2469,2518,2405,1395,5990,13504,5799,21.5
2462,2611,2397,1395,6042,13401,4059,22.0
2474,2618,2339,1394,5887,13465,4521,22.5
2486,2541,2260,1395,5875,13373,5236,23.0
2477,2452,2184,1397,5934,13386,8778,23.5
2466,2410,2168,1395,6282,13367,8435,24.0
2437,2435,2219,1395,6448,13476,9631,24.5
2433,2481,2313,1395,6864,13412,9979,25.0
2457,2459,2395,1395,7163,13395,9551,25.5
2491,2354,2436,1396,7268,13503,8663,26.0
2509,2223,2422,1395,8588,13521,7983,26.5
2485,2116,2358,1395,6930,13522,8028,27.0
2434,2121,2271,1397,6974,13520,8588,27.5
2370,2315,2191,1396,7898,13426,9871,28.0
2326,2545,2196,1395,9008,13385,10946,28.5
2332,2708,2267,1395,10233,13326,11586,29.0
2386,2727,2355,1397,11208,13401,11483,29.5
2462,2617,2439,1399,11395,13393,10678,30.0
2534,2437,2471,1395,10944,13480,9569,30.5
2543,2261,2432,1395,10746,13522,9182,31.0
2500,2124,2348,1397,10599,13522,9222,31.5
2437,2064,2259,1398,10684,13521,9866,32.0
2398,2044,2190,1396,11038,13521,11123,32.5
2400,2053,2188,1397,11139,13522,12438,33.0
2442,2116,2244,1397,11801,13516,13188,33.5
2488,2224,2293,1397,11333,13390,12879,34.0
2529,2374,2353,1396,11269,13478,12878,34.5
2531,2525,2382,1398,10564,13405,12880,35.0
2518,2643,2389,1395,10716,13384,13029,35.5
2484,2710,2395,1396,10873,13360,13145,36.0
2440,2733,2419,1398,11209,13459,12995,36.5
2400,2725,2457,1393,11581,13381,12013,37.0
2379,2690,2495,1393,11956,13464,10911,37.5
2385,2611,2521,1395,12414,13464,9765,38.0
2402,2493,2519,1399,12981,13391,8624,38.5
2424,2371,2489,1395,13341,13425,7606,39.0
2451,2299,2450,1395,13430,13501,6891,39.5
2458,2301,2413,1394,13364,13494,6477,40.0
2455,2390,2382,1395,13414,13368,6376,40.5
2455,2500,2367,1395,13387,13426,6369,41.0
2456,2543,2378,1396,13493,13415,6353,41.5
2460,2484,2400,1395,13445,13482,6204,42.0
2478,2340,2439,1395,13341,13424,5424,42.5
2488,2162,2485,1394,13381,13568,4720,43.0
2481,2028,2511,1395,13342,13522,3613,43.5
2466,1981,2501,1395,13445,13427,3213,44.0
2446,2062,2457,1397,13477,13428,3133,44.5
2442,2257,2368,1395,13385,13463,3602,45.0
2443,2432,2269,1395,13208,13375,4682,45.5
2453,2540,2202,1393,13441,13355,6000,46.0
2454,2531,2184,1394,13332,13389,7618,46.5
2451,2436,2232,1398,13520,13401,8643,47.0
2439,2300,2322,1398,13359,13428,8803,47.5
2419,2180,2418,1397,13381,13568,8171,48.0
2411,2146,2481,1397,13409,13521,7044,48.5
2414,2207,2508,1397,13430,13404,6036,49.0
2417,2311,2476,1395,13354,13446,5062,49.5
2411,2382,2411,1395,13374,13396,8151,50.0
2422,2380,2340,1395,13386,13440,8612,50.5
2457,2315,2304,1396,13471,13561,5745,51.0
2495,2235,2291,1397,13403,13513,6381,51.5
2538,2223,2306,1395,13205,13427,6601,52.0
2559,2239,2342,1397,12998,13493,6710,52.5
2549,2297,2367,1395,12487,13395,6680,53.0
2509,2354,2385,1398,12258,13487,6419,53.5
2474,2361,2399,1398,12472,13461,8571,54.0
2448,2339,2411,1395,12917,13418,5451,54.5
2451,2337,2420,1395,13475,13492,5131,55.0
2470,2408,2436,1395,13264,13463,4697,55.5
2496,2551,2444,1397,13431,13471,4178,56.0
2509,2688,2467,1396,13422,13386,3840,56.5
2502,2780,2508,1395,13371,13482,3161,57.0
2475,2801,2558,1393,13379,13380,2320,57.5
2461,2776,2581,1396,13371,13448,1458,58.0
2466,2784,2563,1394,13349,13473,435,58.5
2482,2832,2516,1395,13383,13370,394,59.0
2491,2897,2462,1396,13374,11760,429,59.5
2500,2929,2445,1398,13429,9293,537,60.0
2504,2863,2460,1396,13358,6949,389,60.5
2493,2705,2479,1394,13388,5705,360,61.0
2494,2518,2461,1396,13384,5420,383,61.5
2525,2400,2382,1397,13379,5513,618,62.0
2535,2414,2274,1395,13139,5523,1578,62.5
2542,2540,2190,1395,13105,4827,3516,63.0
2535,2677,2161,1395,13078,3098,5682,63.5
2507,2753,2228,1398,13225,776,7083,64.0
2478,2751,2331,1399,13444,504,7272,64.5
2462,2680,2410,1398,13461,504,6657,65.0
2475,2629,2441,1398,13461,363,5996,65.5
2520,2586,2432,1398,13280,363,5350,66.0
