Fan #4,Fan #3,Fan #2,Fan #1,Level #4,Level #3,Level #2,Time (s)
3531,3475,3530,1400,415,363,354,0.5
3519,3473,3516,1398,415,364,354,1.0
3521,3464,3515,1398,415,364,354,1.5
3511,3464,3517,1399,415,364,354,2.0
3518,3456,3514,1399,414,363,354,2.5
3506,3445,3504,1395,414,363,354,3.0
3484,3413,3479,1397,415,364,355,3.5
3469,3390,3454,1398,415,364,355,4.0
3444,3366,3424,1398,415,364,354,4.5
3422,3343,3406,1397,415,364,355,5.0
3390,3329,3386,1398,414,364,355,5.5
3369,3305,3366,1397,415,364,354,6.0
3359,3292,3341,1395,415,364,354,6.5
3342,3272,3321,1397,415,364,355,7.0
3319,3252,3306,1397,415,364,354,7.5
3302,3237,3290,1399,415,364,355,8.0
3282,3217,3272,1398,415,364,354,8.5
3261,3210,3253,1399,415,364,354,9.0
3244,3186,3236,1400,415,364,354,9.5
3229,3167,3214,1400,415,364,354,10.0
3212,3152,3200,1399,415,363,354,10.5
3199,3133,3181,1399,415,364,355,11.0
3176,3115,3170,1398,415,407,354,11.5
3160,3099,3153,1398,415,407,355,12.0
3141,3081,3134,1398,415,363,355,12.5
3124,3064,3113,1399,415,364,355,13.0
3108,3044,3092,1400,415,363,355,13.5
3094,3033,3078,1398,414,364,354,14.0
3071,3012,3057,1398,415,407,354,14.5
3061,2992,3042,1398,415,364,354,15.0
3030,2984,3021,1398,415,363,355,15.5
3020,2958,3001,1398,415,364,355,16.0
3000,2938,2987,1395,415,364,354,16.5
2979,2920,2969,1399,415,364,354,17.0
2961,2903,2953,1397,415,363,354,17.5
2949,2885,2934,1399,415,363,354,18.0
2927,2868,2913,1397,415,364,355,18.5
2911,2852,2894,1399,415,363,354,19.0
2894,2832,2876,1398,415,407,354,19.5
2867,2818,2857,1398,415,364,354,20.0
2846,2796,2840,1398,415,363,355,20.5
2828,2776,2818,1398,415,407,355,21.0
2810,2752,2798,1397,414,363,354,21.5
2789,2735,2778,1396,415,364,355,22.0
2773,2720,2758,1399,415,363,355,22.5
2757,2696,2740,1399,415,363,354,23.0
2731,2673,2720,1399,415,364,355,23.5
2713,2658,2700,1398,415,364,354,24.0
2690,2640,2677,1396,415,363,355,24.5
2682,2620,2656,1399,414,364,354,25.0
2651,2601,2636,1397,415,363,355,25.5
2630,2576,2617,1398,375,364,355,26.0
2608,2562,2596,1397,340,363,355,26.5
2590,2541,2578,1398,467,364,355,27.0
2571,2518,2556,1399,380,364,355,27.5
2555,2496,2532,1397,472,408,355,28.0
2530,2475,2514,1395,340,369,355,28.5
2503,2453,2494,1396,466,369,354,29.0
2487,2435,2468,1398,874,386,354,29.5
2464,2417,2448,1397,1381,369,355,30.0
2439,2395,2429,1398,2104,409,354,30.5
2419,2375,2410,1399,2805,398,395,31.0
2396,2355,2384,1400,3715,432,617,31.5
2370,2332,2364,1396,4334,478,1404,32.0
2346,2309,2335,1399,4680,518,3051,32.5
2327,2292,2311,1401,5739,534,3543,33.0
2303,2268,2284,1400,7216,490,4353,33.5
2281,2249,2266,1399,8741,550,5217,34.0
2249,2195,2238,1399,10258,1026,6142,34.5
2219,2225,2201,1401,11751,2085,7295,35.0
2211,2213,2223,1401,13467,3387,8438,35.5
2214,2162,2216,1401,13518,4603,9503,36.0
2179,2132,2175,1400,13378,6268,10463,36.5
2153,2100,2132,1399,13472,8793,12991,37.0
2133,2075,2100,1397,13519,11924,12777,37.5
2112,2052,2077,1396,13379,13417,12778,38.0
2086,2042,2061,1398,13380,13423,12779,38.5
2068,2026,2041,1398,13428,13423,12778,39.0
2044,2006,2016,1399,13380,13520,12778,39.5
2020,1984,1993,1398,13379,13521,12777,40.0
1997,1961,1969,1398,13381,13521,12777,40.5
1974,1940,1946,1397,13427,13520,12778,41.0
1949,1918,1927,1397,13381,13522,12778,41.5
1923,1894,1903,1396,13428,13521,12731,42.0
1899,1870,1879,1396,13380,13568,12777,42.5
1875,1851,1854,1396,13380,13522,12921,43.0
1852,1825,1831,1397,13379,13522,12923,43.5
1831,1804,1807,1399,13475,13522,12778,44.0
1809,1780,1784,1399,13380,13522,12731,44.5
1783,1758,1758,1399,13381,13522,12875,45.0
1756,1729,1734,1399,13380,13521,12779,45.5
1734,1706,1709,1399,13380,13521,12778,46.0
1708,1683,1684,1399,13380,13521,12777,46.5
1686,1661,1661,1397,13380,13521,12778,47.0
1660,1639,1635,1396,13380,13521,12823,47.5
1635,1618,1612,1398,13380,13520,12778,48.0
1608,1591,1585,1397,13380,13521,12777,48.5
1580,1568,1559,1397,13380,13568,12778,49.0
1557,1540,1534,1399,13380,13568,12778,49.5
1533,1515,1508,1397,13428,13521,12828,50.0
1500,1486,1479,1397,13379,13473,12828,50.5
1471,1458,1450,1397,13380,13521,12783,51.0
1482,1467,1460,1399,13380,13472,12731,51.5
1499,1478,1475,1398,13428,13521,12824,52.0
1525,1500,1499,1398,13380,13568,12778,52.5
1550,1524,1522,1398,13379,13568,12921,53.0
1575,1549,1547,1397,13379,13521,12921,53.5
1601,1575,1576,1398,13380,13521,12733,54.0
