Trial,MSE,Params,Best Trial
1006,7.986070389,"{'a11': 8.759454548305566, 'b11': 0.22462726967210989, 'c11': 1.574951114467775, 'a12': 2.5647032773088245, 'b12': 0.5636100969452013, 'c12': 0.22317961356425686, 'a13': 3.098058428694929, 'b13': 1.3715917617329325, 'c13': 4.499068306963262, 'a21': 2.8343033073924397, 'b21': 0.6143228494864577, 'c21': 0.604917775075825, 'a22': 9.254806269006583, 'b22': 0.6674559900672803, 'c22': 2.304306984166489, 'a23': 8.397438789661582, 'b23': 0.02760335576714712, 'c23': 3.825773430711761, 'a31': 4.548208942281802, 'b31': 0.022342583700647123, 'c31': 6.05179025836175, 'a32': 1.0488069664524016, 'b32': 0.7638728923287399, 'c32': 2.1746795143501596, 'a33': 9.087757067169271, 'b33': 1.384462275280482, 'c33': 5.438858793230381}",1006
1007,12.603053651,"{'a11': 8.321603534089311, 'b11': 0.5213442218326592, 'c11': 1.0546096474079176, 'a12': 3.215226430094492, 'b12': 0.3677547322052864, 'c12': 2.345808859840357, 'a13': 2.421044371040384, 'b13': 1.1048524150163586, 'c13': 5.027565261940204, 'a21': 2.90574354535474, 'b21': 0.5538708092241373, 'c21': 0.7015582064955319, 'a22': 9.459618429181763, 'b22': 0.46629332051382105, 'c22': 1.5410105541285122, 'a23': 8.644216452462224, 'b23': 0.9942925177034474, 'c23': 3.796203927565421, 'a31': 5.906309909997236, 'b31': 0.5131330702945505, 'c31': 6.084901876512095, 'a32': 1.6982162826173197, 'b32': 1.226065923449443, 'c32': 0.7540366539849178, 'a33': 7.97914416381197, 'b33': 3.3088848260294927, 'c33': 5.468335303138082}",1006
1008,15.127539962,"{'a11': 9.451408415790583, 'b11': 0.5453064229557847, 'c11': 1.9922294381252272, 'a12': 2.148718487260367, 'b12': 1.2336524591098668, 'c12': 1.53809824058637, 'a13': 2.0274439167507166, 'b13': 0.21040099004072021, 'c13': 4.825600378619133, 'a21': 3.5968076235771584, 'b21': 1.959710640683227, 'c21': 1.0769363347780663, 'a22': 7.8062359758380415, 'b22': 0.9709359273313231, 'c22': 1.7473739615849582, 'a23': 8.776972949406998, 'b23': 1.1618432407811334, 'c23': 5.035175320220733, 'a31': 5.427119555211575, 'b31': 0.4276395713393337, 'c31': 4.513352673854007, 'a32': 0.3914298778295364, 'b32': 2.2929959079456843, 'c32': 2.468415486944841, 'a33': 8.718297590579125, 'b33': 2.792250902203455, 'c33': 5.130420260076502}",1006
1009,12.047868328,"{'a11': 9.552979709931954, 'b11': 0.09552531684309784, 'c11': 1.149935055838815, 'a12': 2.969662408456517, 'b12': 0.9592448344256413, 'c12': 0.7339734388576518, 'a13': 3.4799290319005025, 'b13': 1.6531936783891343, 'c13': 4.475369658265065, 'a21': 2.486046052174966, 'b21': 1.4629758550668308, 'c21': 0.8188568313883053, 'a22': 7.827685595784919, 'b22': 0.08329107202502073, 'c22': 1.2055804113135424, 'a23': 8.414776460805705, 'b23': 0.6227182810607221, 'c23': 3.9914556497806384, 'a31': 6.000076845296991, 'b31': 0.31191068621567897, 'c31': 4.746914152482308, 'a32': 1.3008415393449637, 'b32': 1.0898227019767912, 'c32': 0.5171867667070333, 'a33': 8.348576980304241, 'b33': 4.004125028446778, 'c33': 4.696757047446219}",1006
1010,21.336096312,"{'a11': 8.677472538690909, 'b11': 1.1497116873186939, 'c11': 0.7284752369132291, 'a12': 1.3748650360324084, 'b12': 1.991116897997312, 'c12': 1.9271157974923114, 'a13': 2.5204016847887862, 'b13': 2.371033123586023, 'c13': 3.604149922231376, 'a21': 2.267326332803156, 'b21': 1.702610514574177, 'c21': 1.3399259441233238, 'a22': 7.142187491182776, 'b22': 2.4542799201515217, 'c22': 0.6033331732396789, 'a23': 9.50083723519564, 'b23': 0.5038345895201423, 'c23': 4.819495196910428, 'a31': 4.45273851771301, 'b31': 1.1327170816584198, 'c31': 5.2714693769995336, 'a32': 0.7043388316786526, 'b32': 0.6840004381009147, 'c32': 0.7993809757545812, 'a33': 8.435640181698872, 'b33': 3.7444160550026977, 'c33': 4.940026056857735}",1006
1011,12.117006434,"{'a11': 9.72950872859469, 'b11': 1.0465549367731384, 'c11': 1.813572063057049, 'a12': 2.819718595800579, 'b12': 1.9978000697837612, 'c12': 1.139204149286022, 'a13': 3.37841425699229, 'b13': 2.110746831578482, 'c13': 3.7154621271742228, 'a21': 2.7112195128187366, 'b21': 0.024415245225550386, 'c21': 1.1167978413653918, 'a22': 9.764197291239324, 'b22': 0.5472182233055367, 'c22': 1.3899191033517293, 'a23': 7.173247847706726, 'b23': 0.6545012502513572, 'c23': 6.177559632065233, 'a31': 5.614576252435143, 'b31': 1.8892512061547606, 'c31': 5.245122045401733, 'a32': 0.2095727543971212, 'b32': 0.15421729586880462, 'c32': 1.5514996114237134, 'a33': 7.943550028529801, 'b33': 3.437966533592425, 'c33': 6.103645885919996}",1006
1012,9.968048213,"{'a11': 8.864512219883743, 'b11': 0.9960482287714885, 'c11': 1.2704125491803053, 'a12': 1.6924608147856874, 'b12': 1.5240324002666434, 'c12': 0.6448334114199812, 'a13': 3.7847657328306106, 'b13': 1.5168265036595816, 'c13': 4.145695259685706, 'a21': 3.0237943951074926, 'b21': 1.0528994344697875, 'c21': 0.10759494717229068, 'a22': 9.574557225794369, 'b22': 0.6908139185383358, 'c22': 2.514719438716297, 'a23': 9.725038108200021, 'b23': 0.2764804524041784, 'c23': 4.34060129555455, 'a31': 6.250691070706706, 'b31': 1.5108822718307975, 'c31': 5.736775655082017, 'a32': 0.46794550246190486, 'b32': 0.4943887813630776, 'c32': 1.7457274274590306, 'a33': 9.296041340251291, 'b33': 3.1183422957449514, 'c33': 5.5381312675045695}",1006
1013,9.417566647,"{'a11': 9.5601967554205, 'b11': 0.06993438863542889, 'c11': 2.0444088450560205, 'a12': 2.1132694141014396, 'b12': 0.15764140927300807, 'c12': 1.866239850156882, 'a13': 3.942450811437008, 'b13': 1.1632096658204694, 'c13': 4.536280213492984, 'a21': 3.152795768902624, 'b21': 0.964365211395718, 'c21': 0.1252224195321867, 'a22': 8.902632866496974, 'b22': 0.35812617379542344, 'c22': 0.9666472774284688, 'a23': 8.656606546866218, 'b23': 0.17557752904105667, 'c23': 2.947051360064691, 'a31': 7.091670609229567, 'b31': 1.2687035379591056, 'c31': 4.629519988286556, 'a32': 1.2401676453679942, 'b32': 2.2668093311306876, 'c32': 1.0148494939120547, 'a33': 9.460914233766644, 'b33': 3.47978991102687, 'c33': 5.541805019690416}",1006
1014,11.285850676,"{'a11': 9.157825866171786, 'b11': 0.39569195990783995, 'c11': 0.4198498826003092, 'a12': 2.9444699001038215, 'b12': 1.7920299077742399, 'c12': 0.29748317111060496, 'a13': 2.9809766423167257, 'b13': 2.5504713779157218, 'c13': 5.145688365919534, 'a21': 2.386870967995563, 'b21': 2.1920041471699507, 'c21': 0.6857256703231039, 'a22': 9.02376079392452, 'b22': 0.4515906553502367, 'c22': 2.374674079988563, 'a23': 9.139176436842286, 'b23': 0.1623373216756478, 'c23': 4.034171480827557, 'a31': 6.774377476809739, 'b31': 1.7037055904457548, 'c31': 5.315715299843195, 'a32': 1.520877386487809, 'b32': 1.1216558144035984, 'c32': 2.446906853180724, 'a33': 9.929495920342008, 'b33': 2.860156457206487, 'c33': 5.23880451740548}",1006
1015,13.179191528,"{'a11': 9.442743775808829, 'b11': 1.3360133293263026, 'c11': 2.3452800096190893, 'a12': 3.133712580793955, 'b12': 0.9206446299741843, 'c12': 1.5301301612809945, 'a13': 3.3823869828416973, 'b13': 1.5196883729782693, 'c13': 4.328074445463117, 'a21': 3.540368410621428, 'b21': 2.045544623613864, 'c21': 0.6212087870261371, 'a22': 8.553055505297474, 'b22': 0.3057076277692823, 'c22': 2.4060857154935587, 'a23': 7.518813199984866, 'b23': 0.9664667163581478, 'c23': 6.2498186875522315, 'a31': 5.957245309390136, 'b31': 1.1004707758907855, 'c31': 4.266536215086732, 'a32': 0.12860429334252788, 'b32': 0.9779465021434021, 'c32': 1.818836899516809, 'a33': 9.23704095916373, 'b33': 4.977175567227851, 'c33': 5.603205404727358}",1006
