Fan #4,Fan #3,Fan #2,Fan #1,Level #4,Level #3,Level #2,Time (s)
2588,2522,2472,1395,473,364,899,1.6
2467,2234,2272,1393,1172,386,2938,2.7
2439,2219,2282,1393,2221,387,4424,3.8
2413,2373,2349,1394,3498,369,4729,5.0
2406,2295,2386,1395,4104,387,4720,6.0
2413,2108,2409,1395,3883,860,4356,7.1
2428,2158,2402,1393,3910,4111,3917,8.0
2452,2420,2393,1392,3831,4735,3828,9.0
2448,2491,2378,1394,3904,3177,3813,10.1
2453,2587,2369,1393,6549,581,3967,11.1
2451,2752,2383,1394,4001,505,3933,12.2
2457,2685,2376,1393,4550,364,3916,13.2
2453,2403,2356,1390,5471,370,4086,14.3
2473,2148,2326,1390,4233,763,4579,15.3
2474,2125,2273,1395,6089,4088,5574,16.3
2476,2351,2251,1393,3881,6166,6966,17.5
2459,2457,2239,1391,3938,4722,8367,18.6
2435,2411,2299,1392,3950,4016,9278,19.7
2436,2423,2351,1393,3864,3529,8749,20.9
2464,2601,2381,1393,3910,494,8560,22.1
2500,2629,2405,1392,3927,363,8690,23.1
2548,2447,2415,1392,4198,514,5686,24.1
2584,2289,2429,1392,3763,387,4528,25.2
2563,2293,2447,1393,3813,387,6125,26.2
2548,2160,2460,1391,3813,550,2578,27.2
2528,1949,2460,1390,6023,4222,1555,28.3
2515,2081,2447,1393,4249,13208,983,29.3
2500,2408,2427,1390,3790,13376,848,30.4
2499,2460,2417,1392,4158,13374,429,31.5
2465,2386,2443,1392,5459,13396,354,32.5
2439,2339,2491,1392,3893,13471,355,33.7
2431,2277,2546,1393,5992,13426,355,34.8
2451,2215,2563,1392,4215,13428,354,36.0
2492,2222,2533,1391,3858,13471,355,37.1
2529,2218,2477,1392,3830,13471,354,38.2
2553,2382,2419,1391,3744,13444,400,39.2
2557,2667,2384,1392,5810,13259,687,40.3
2526,2649,2385,1392,3900,11512,1126,41.4
2494,2385,2420,1391,3935,11308,1178,42.4
2461,2238,2464,1393,3892,13423,452,43.5
2449,2363,2479,1393,3860,13397,355,44.5
2473,2443,2464,1391,3893,13392,360,45.6
2509,2541,2426,1389,3893,13363,372,46.7
2516,2661,2400,1391,3789,13316,515,48.0
2514,2541,2376,1391,3812,13383,853,49.1
2483,2326,2352,1392,6384,13471,1874,50.4
2426,2412,2316,1391,3893,13363,2742,51.6
2393,2520,2284,1391,3950,13492,4053,52.7
2383,2429,2279,1393,3915,13366,5884,53.9
2384,2415,2274,1392,4116,13377,6820,55.0
2422,2471,2308,1391,5851,13463,9832,56.2
2434,2380,2337,1391,3950,13386,7261,57.2
2432,2298,2358,1394,3860,13424,7064,58.2
2432,2354,2381,1391,3859,13411,6682,59.3
2439,2276,2388,1392,3940,13427,8700,60.4
2452,2108,2404,1391,3910,13427,5499,61.4
2474,2189,2411,1391,3886,13428,4986,62.5
2491,2513,2413,1392,5990,13466,4504,63.9
2516,2618,2394,1393,5993,13353,4171,65.1
2539,2512,2376,1394,3870,13426,4194,66.2
2537,2403,2338,1395,3841,13410,4448,67.3
2542,2291,2307,1392,4221,13422,5064,68.4
2544,2245,2302,1391,3858,13473,5636,69.6
2537,2255,2313,1392,3778,13471,6149,70.7
2521,2360,2353,1393,4088,13408,6414,71.7
2518,2426,2413,1391,5696,13408,6107,72.7
2498,2394,2459,1394,5723,13421,7452,73.7
2483,2328,2494,1392,3881,13421,3305,74.8
2459,2376,2490,1394,4156,13403,2019,75.9
2456,2440,2437,1394,6256,13397,1487,77.0
2469,2309,2373,1393,4082,13428,1886,78.1
2496,2197,2305,1395,3859,13427,2836,79.1
2530,2421,2244,1392,4187,13390,4806,80.1
2539,2527,2225,1392,3910,13362,7173,81.3
2502,2413,2233,1392,3898,13506,8981,82.4
2432,2330,2336,1392,4156,13521,9697,83.6
2343,2330,2425,1392,3997,13428,7738,84.7
2290,2267,2508,1395,4895,13427,5373,85.8
2303,2192,2542,1391,7286,13472,3040,86.8
2376,2148,2518,1392,8243,13425,1143,87.9
2489,2161,2452,1392,8278,13428,395,88.9
2564,2196,2363,1392,10311,13428,810,89.9
2561,2234,2262,1392,6507,13428,2605,91.0
2514,2313,2171,1392,6112,13420,5911,92.0
2434,2343,2140,1393,6347,13422,8476,93.0
2364,2353,2165,1392,6833,13561,11725,94.1
2322,2325,2221,1394,10678,13461,12783,95.1
2348,2279,2296,1395,9228,13424,12689,96.1
2431,2369,2386,1392,9602,13500,13050,97.3
2500,2610,2407,1391,9519,13336,11819,98.4
2549,2755,2395,1391,9064,12593,11029,99.5
2540,2693,2359,1391,8697,9697,10261,100.6
2489,2506,2314,1393,8783,7359,10524,101.8
2425,2411,2297,1392,8707,6760,10827,103.0
2389,2436,2302,1394,8828,6366,11174,104.0
2414,2452,2287,1391,9095,5129,13452,105.0
2497,2394,2267,1391,9120,4245,12320,106.0
2579,2354,2246,1393,7991,4352,12736,107.0
2622,2394,2225,1392,6500,4027,12735,108.0
2611,2393,2250,1392,5367,3652,12737,109.0
